,learn,pumaid,educ,hours,state,Y,W
1378,8.987197,4400200,13,16,44,8.987197,TRUE
1379,8.517193,4400200,12,15,44,8.517193,FALSE
1380,10.66896,4400200,12,48,44,10.66896,FALSE
1381,7.600903,4400200,16,40,44,7.600903,TRUE
1382,11.51293,4400200,13,60,44,11.51293,TRUE
1383,9.903487,4400200,14,42,44,9.903487,TRUE
1384,10.23996,4400200,13,45,44,10.23996,TRUE
1385,9.059518,4400200,12,30,44,9.059518,FALSE
1386,11.35041,4400200,16,40,44,11.35041,TRUE
1387,9.998797,4400200,12,40,44,9.998797,FALSE
1388,10.83958,4400200,14,72,44,10.83958,TRUE
1389,9.952278,4400200,18,40,44,9.952278,TRUE
1390,10.12663,4400200,12,40,44,10.12663,FALSE
1391,10.83958,4400200,12,40,44,10.83958,FALSE
1392,10.80973,4400200,18,60,44,10.80973,TRUE
1393,9.546813,4400200,13,30,44,9.546813,TRUE
1394,8.699514,4400200,12,40,44,8.699514,FALSE
1395,8.853665,4400200,16,40,44,8.853665,TRUE
1396,9.852194,4400200,12,40,44,9.852194,FALSE
1397,10.07744,4400200,12,40,44,10.07744,FALSE
1398,10.859,4400200,16,55,44,10.859,TRUE
1399,9.903487,4400200,12,40,44,9.903487,FALSE
1400,9.305651,4400200,13,70,44,9.305651,TRUE
1401,10.56359,4400200,12,50,44,10.56359,FALSE
1402,9.92818,4400200,12,45,44,9.92818,FALSE
1403,11.03489,4400200,16,40,44,11.03489,TRUE
1404,9.21034,4400200,13,20,44,9.21034,TRUE
